,NATIONALITY,RACES,1ST,2ND,3RD,PODIUMS,POLES,FASTEST,POINTS
1,United Kingdom,4032,291,204,195,690,275,236,9008.28
2,Germany,2179,179,126,108,413,166,159,7812.5
3,Finland,1011,54,84,85,223,61,89,3870.5
4,Brazil,1848,101,103,89,293,126,88,3423
5,France,2749,79,112,113,304,77,90,3034.47
6,Australia,734,42,39,46,127,35,55,2561.5
7,Spain,685,32,39,29,100,22,24,2248
8,Italy,3002,43,79,85,207,47,51,2033.8
9,Austria,666,41,40,37,118,46,49,990.5
10,Netherlands,383,8,11,14,33,2,7,975
11,United States,1188,31,39,51,121,38,36,937
12,Argentina,351,38,30,30,98,38,37,697.42
13,Mexico,342,2,5,8,15,0,6,674
14,New Zealand,377,12,23,36,71,6,14,541.5
15,Canada,325,17,10,10,37,15,17,409
16,Sweden,472,12,14,18,44,15,10,396
17,Belgium,462,11,11,23,45,14,15,383
18,Switzerland,448,7,16,13,36,7,20,348
19,Monaco,68,2,2,7,11,7,4,307
20,Colombia,115,7,15,8,30,13,12,307
21,South Africa,194,10,16,10,36,3,5,282
22,Poland,97,1,5,6,12,1,1,274
23,Russian Federation,171,0,1,3,4,0,2,235
24,Japan,554,0,0,3,3,0,3,209
25,Denmark,134,0,1,0,1,0,2,158
26,Thailand,40,0,0,0,0,0,0,100
27,Venezuela,114,1,0,0,1,1,0,76
28,Ireland,67,0,0,0,0,0,0,16
29,Portugal,73,0,0,1,1,0,0,8
30,Zimbabwe,17,0,1,0,1,0,0,6
31,India,57,0,0,0,0,0,0,5
32,Chile,24,0,0,0,0,0,0,3
33,Hungary,20,0,0,0,0,0,0,1
34,Liechtenstein,10,0,0,0,0,0,0,0
35,Uruguay,6,0,0,0,0,0,0,0
36,Czech Republic,3,0,0,0,0,0,0,0
37,Indonesia,12,0,0,0,0,0,0,0
38,Malaysia,14,0,0,0,0,0,0,0
